protocol,week_date,total
Dfinity,2017-02-19 01:00:00,0.0
Dfinity,2017-02-26 01:00:00,0.0
Dfinity,2017-03-05 01:00:00,0.0
Dfinity,2017-03-12 01:00:00,0.0
Dfinity,2017-03-19 00:00:00,0.0
Dfinity,2017-03-26 00:00:00,0.0
Dfinity,2017-04-02 00:00:00,0.0
Dfinity,2017-04-09 00:00:00,0.0
Dfinity,2017-04-16 00:00:00,0.0
Dfinity,2017-04-23 00:00:00,0.0
Dfinity,2017-04-30 00:00:00,0.0
Dfinity,2017-05-07 00:00:00,0.0
Dfinity,2017-05-14 00:00:00,0.0
Dfinity,2017-05-21 00:00:00,0.0
Dfinity,2017-05-28 00:00:00,0.0
Dfinity,2017-06-04 00:00:00,0.0
Dfinity,2017-06-11 00:00:00,0.0
Dfinity,2017-06-18 00:00:00,0.0
Dfinity,2017-06-25 00:00:00,0.0
Dfinity,2017-07-02 00:00:00,0.0
Dfinity,2017-07-09 00:00:00,0.0
Dfinity,2017-07-16 00:00:00,0.0
Dfinity,2017-07-23 00:00:00,0.0
Dfinity,2017-07-30 00:00:00,4.0
Dfinity,2017-08-06 00:00:00,6.0
Dfinity,2017-08-13 00:00:00,19.0
Dfinity,2017-08-20 00:00:00,12.0
Dfinity,2017-08-27 00:00:00,11.0
Dfinity,2017-09-03 00:00:00,0.0
Dfinity,2017-09-10 00:00:00,3.0
Dfinity,2017-09-17 00:00:00,7.0
Dfinity,2017-09-24 00:00:00,2.0
Dfinity,2017-10-01 00:00:00,0.0
Dfinity,2017-10-08 00:00:00,0.0
Dfinity,2017-10-15 00:00:00,0.0
Dfinity,2017-10-22 00:00:00,0.0
Dfinity,2017-10-29 00:00:00,0.0
Dfinity,2017-11-05 00:00:00,0.0
Dfinity,2017-11-12 00:00:00,0.0
Dfinity,2017-11-19 00:00:00,0.0
Dfinity,2017-11-26 00:00:00,0.0
Dfinity,2017-12-03 00:00:00,0.0
Dfinity,2017-12-10 00:00:00,0.0
Dfinity,2017-12-17 00:00:00,1.0
Ethereum,2017-01-29 00:00:00,12.0
Ethereum,2017-02-05 00:00:00,12.0
Ethereum,2017-02-12 00:00:00,18.0
Ethereum,2017-02-19 00:00:00,32.0
Ethereum,2017-02-26 00:00:00,32.0
Ethereum,2017-03-05 00:00:00,16.0
Ethereum,2017-03-12 00:00:00,6.0
Ethereum,2017-03-19 00:00:00,19.0
Ethereum,2017-03-26 00:00:00,6.0
Ethereum,2017-04-02 00:00:00,17.0
Ethereum,2017-04-09 00:00:00,33.0
Ethereum,2017-04-16 00:00:00,11.0
Ethereum,2017-04-23 00:00:00,9.0
Ethereum,2017-04-30 00:00:00,24.0
Ethereum,2017-05-07 00:00:00,13.0
Ethereum,2017-05-14 00:00:00,6.0
Ethereum,2017-05-21 00:00:00,25.0
Ethereum,2017-05-28 00:00:00,26.0
Ethereum,2017-06-04 00:00:00,9.0
Ethereum,2017-06-11 00:00:00,6.0
Ethereum,2017-06-18 00:00:00,31.0
Ethereum,2017-06-25 00:00:00,19.0
Ethereum,2017-07-02 00:00:00,10.0
Ethereum,2017-07-09 00:00:00,14.0
Ethereum,2017-07-16 00:00:00,12.0
Ethereum,2017-07-23 00:00:00,5.0
Ethereum,2017-07-30 00:00:00,18.0
Ethereum,2017-08-06 00:00:00,31.0
Ethereum,2017-08-13 00:00:00,20.0
Ethereum,2017-08-20 00:00:00,21.0
Ethereum,2017-08-27 00:00:00,5.0
Ethereum,2017-09-03 00:00:00,28.0
Ethereum,2017-09-10 00:00:00,16.0
Ethereum,2017-09-17 00:00:00,8.0
Ethereum,2017-09-24 00:00:00,7.0
Ethereum,2017-10-01 00:00:00,15.0
Ethereum,2017-10-08 00:00:00,16.0
Ethereum,2017-10-15 00:00:00,17.0
Ethereum,2017-10-22 00:00:00,12.0
Ethereum,2017-10-29 00:00:00,4.0
Ethereum,2017-11-05 00:00:00,17.0
Ethereum,2017-11-12 00:00:00,22.0
Ethereum,2017-11-19 00:00:00,19.0
Ethereum,2017-11-26 00:00:00,13.0
Ethereum,2017-12-03 00:00:00,13.0
Ethereum,2017-12-10 00:00:00,15.0
Ethereum,2017-12-17 00:00:00,27.0
Ethereum,2017-12-24 00:00:00,5.0
Ethereum,2017-12-31 00:00:00,20.0
Ethereum,2018-01-07 00:00:00,10.0
Ethereum,2018-01-14 00:00:00,5.0
Ethereum,2018-01-21 00:00:00,14.0
Ethereum,2018-01-28 00:00:00,2.0
Filecoin,2017-01-29 00:00:00,0.0
Filecoin,2017-02-05 00:00:00,0.0
Filecoin,2017-02-12 00:00:00,0.0
Filecoin,2017-02-19 00:00:00,0.0
Filecoin,2017-02-26 00:00:00,0.0
Filecoin,2017-03-05 00:00:00,0.0
Filecoin,2017-03-12 00:00:00,1.0
Filecoin,2017-03-19 00:00:00,0.0
Filecoin,2017-03-26 00:00:00,0.0
Filecoin,2017-04-02 00:00:00,0.0
Filecoin,2017-04-09 00:00:00,0.0
Filecoin,2017-04-16 00:00:00,0.0
Filecoin,2017-04-23 00:00:00,0.0
Filecoin,2017-04-30 00:00:00,0.0
Filecoin,2017-05-07 00:00:00,1.0
Filecoin,2017-05-14 00:00:00,0.0
Filecoin,2017-05-21 00:00:00,1.0
Filecoin,2017-05-28 00:00:00,0.0
Filecoin,2017-06-04 00:00:00,0.0
Filecoin,2017-06-11 00:00:00,1.0
Filecoin,2017-06-18 00:00:00,0.0
Filecoin,2017-06-25 00:00:00,0.0
Filecoin,2017-07-02 00:00:00,1.0
Filecoin,2017-07-09 00:00:00,0.0
Filecoin,2017-07-16 00:00:00,0.0
Filecoin,2017-07-23 00:00:00,0.0
Filecoin,2017-07-30 00:00:00,0.0
Filecoin,2017-08-06 00:00:00,0.0
Filecoin,2017-08-13 00:00:00,0.0
Filecoin,2017-08-20 00:00:00,20.0
Filecoin,2017-08-27 00:00:00,0.0
Filecoin,2017-09-03 00:00:00,0.0
Filecoin,2017-09-10 00:00:00,0.0
Filecoin,2017-09-17 00:00:00,0.0
Filecoin,2017-09-24 00:00:00,0.0
Filecoin,2017-10-01 00:00:00,0.0
Filecoin,2017-10-08 00:00:00,0.0
Filecoin,2017-10-15 00:00:00,2.0
Filecoin,2017-10-22 00:00:00,0.0
Filecoin,2017-10-29 00:00:00,0.0
Filecoin,2017-11-05 00:00:00,0.0
Filecoin,2017-11-12 00:00:00,3.0
Filecoin,2017-11-19 00:00:00,0.0
Filecoin,2017-11-26 00:00:00,0.0
Filecoin,2017-12-03 00:00:00,0.0
Filecoin,2017-12-10 00:00:00,0.0
Filecoin,2017-12-17 00:00:00,1.0
Filecoin,2017-12-24 00:00:00,0.0
Filecoin,2017-12-31 00:00:00,1.0
Filecoin,2018-01-07 00:00:00,1.0
Filecoin,2018-01-14 00:00:00,0.0
Filecoin,2018-01-21 00:00:00,4.0
Filecoin,2018-01-28 00:00:00,1.0
MaidSafe,2017-01-29 00:00:00,2.0
MaidSafe,2017-02-05 00:00:00,12.0
MaidSafe,2017-02-12 00:00:00,2.0
MaidSafe,2017-02-19 00:00:00,1.0
MaidSafe,2017-02-26 00:00:00,4.0
MaidSafe,2017-03-05 00:00:00,6.0
MaidSafe,2017-03-12 00:00:00,3.0
MaidSafe,2017-03-19 00:00:00,3.0
MaidSafe,2017-03-26 00:00:00,2.0
MaidSafe,2017-04-02 00:00:00,1.0
MaidSafe,2017-04-09 00:00:00,0.0
MaidSafe,2017-04-16 00:00:00,2.0
MaidSafe,2017-04-23 00:00:00,0.0
MaidSafe,2017-04-30 00:00:00,4.0
MaidSafe,2017-05-07 00:00:00,0.0
MaidSafe,2017-05-14 00:00:00,1.0
MaidSafe,2017-05-21 00:00:00,0.0
MaidSafe,2017-05-28 00:00:00,0.0
MaidSafe,2017-06-04 00:00:00,0.0
MaidSafe,2017-06-11 00:00:00,3.0
MaidSafe,2017-06-18 00:00:00,1.0
MaidSafe,2017-06-25 00:00:00,2.0
