protocol,week_date,total
MaidSafe,2017-07-02 00:00:00,5.0
MaidSafe,2017-07-09 00:00:00,3.0
MaidSafe,2017-07-16 00:00:00,0.0
MaidSafe,2017-07-23 00:00:00,3.0
MaidSafe,2017-07-30 00:00:00,0.0
MaidSafe,2017-08-06 00:00:00,0.0
MaidSafe,2017-08-13 00:00:00,0.0
MaidSafe,2017-08-20 00:00:00,0.0
MaidSafe,2017-08-27 00:00:00,0.0
MaidSafe,2017-09-03 00:00:00,0.0
MaidSafe,2017-09-10 00:00:00,2.0
MaidSafe,2017-09-17 00:00:00,0.0
MaidSafe,2017-09-24 00:00:00,0.0
MaidSafe,2017-10-01 00:00:00,0.0
MaidSafe,2017-10-08 00:00:00,0.0
MaidSafe,2017-10-15 00:00:00,0.0
MaidSafe,2017-10-22 00:00:00,0.0
MaidSafe,2017-10-29 00:00:00,0.0
MaidSafe,2017-11-05 00:00:00,0.0
MaidSafe,2017-11-12 00:00:00,0.0
MaidSafe,2017-11-19 00:00:00,0.0
MaidSafe,2017-11-26 00:00:00,0.0
MaidSafe,2017-12-03 00:00:00,1.0
MaidSafe,2017-12-10 00:00:00,0.0
MaidSafe,2017-12-17 00:00:00,1.0
MaidSafe,2017-12-24 00:00:00,2.0
MaidSafe,2017-12-31 00:00:00,0.0
MaidSafe,2018-01-07 00:00:00,0.0
MaidSafe,2018-01-14 00:00:00,0.0
MaidSafe,2018-01-21 00:00:00,0.0
MaidSafe,2018-01-28 00:00:00,0.0
Maker,2017-01-29 01:00:00,0.0
Maker,2017-02-05 01:00:00,0.0
Maker,2017-02-12 01:00:00,0.0
Maker,2017-02-19 01:00:00,0.0
Maker,2017-02-26 01:00:00,0.0
Maker,2017-03-05 01:00:00,0.0
Maker,2017-03-12 01:00:00,0.0
Maker,2017-03-19 00:00:00,12.0
Maker,2017-03-26 00:00:00,60.0
Maker,2017-04-02 00:00:00,77.0
Maker,2017-04-09 00:00:00,38.0
Maker,2017-04-16 00:00:00,17.0
Maker,2017-04-23 00:00:00,23.0
Maker,2017-04-30 00:00:00,21.0
