,protocol,date,question_count,views
41,Bitcoin,2017-04-05,1.0,181.0
42,Bitcoin,2017-04-07,1.0,109.0
43,Bitcoin,2017-04-08,1.0,180.0
44,Bitcoin,2017-04-09,1.0,50.0
45,Bitcoin,2017-04-11,1.0,34.0
46,Bitcoin,2017-04-12,1.0,40.0
47,Bitcoin,2017-04-13,3.0,100.0
48,Bitcoin,2017-04-15,1.0,408.0
49,Bitcoin,2017-04-17,1.0,172.0
50,Bitcoin,2017-04-20,1.0,1530.0
51,Bitcoin,2017-04-21,1.0,744.0
52,Bitcoin,2017-04-23,2.0,212.0
53,Bitcoin,2017-04-24,1.0,692.0
54,Bitcoin,2017-04-26,2.0,99.0
55,Bitcoin,2017-04-27,2.0,22.0
56,Bitcoin,2017-04-28,1.0,460.0
57,Bitcoin,2017-04-29,1.0,119.0
58,Bitcoin,2017-05-01,2.0,19.0
59,Bitcoin,2017-05-03,2.0,144.0
60,Bitcoin,2017-05-04,3.0,125.0
61,Bitcoin,2017-05-05,1.0,78.0
62,Bitcoin,2017-05-07,1.0,23.0
63,Bitcoin,2017-05-10,1.0,160.0
64,Bitcoin,2017-05-12,1.0,278.0
65,Bitcoin,2017-05-13,1.0,32.0
66,Bitcoin,2017-05-17,1.0,130.0
67,Bitcoin,2017-05-19,2.0,632.0
68,Bitcoin,2017-05-21,2.0,38.0
69,Bitcoin,2017-05-26,1.0,36.0
70,Bitcoin,2017-05-30,2.0,22.0
71,Bitcoin,2017-06-01,2.0,248.0
72,Bitcoin,2017-06-03,2.0,1404.0
73,Bitcoin,2017-06-05,6.0,494.0
74,Bitcoin,2017-06-07,1.0,507.0
75,Bitcoin,2017-06-08,2.0,569.0
76,Bitcoin,2017-06-09,1.0,50.0
77,Bitcoin,2017-06-10,1.0,298.0
78,Bitcoin,2017-06-11,1.0,1414.0
79,Bitcoin,2017-06-12,3.0,262.0
80,Bitcoin,2017-06-14,5.0,248.0
81,Bitcoin,2017-06-15,2.0,268.0
