,protocol,date,question_count,views
0,Bitcoin,2017-01-11,1.0,253.0
1,Bitcoin,2017-01-12,1.0,200.0
2,Bitcoin,2017-01-14,1.0,44.0
3,Bitcoin,2017-01-15,1.0,47.0
4,Bitcoin,2017-01-16,2.0,740.0
5,Bitcoin,2017-01-20,1.0,1126.0
6,Bitcoin,2017-01-21,1.0,93.0
7,Bitcoin,2017-01-24,1.0,191.0
8,Bitcoin,2017-01-26,1.0,286.0
9,Bitcoin,2017-01-30,3.0,76.0
10,Bitcoin,2017-01-31,1.0,62.0
11,Bitcoin,2017-02-01,1.0,517.0
12,Bitcoin,2017-02-02,1.0,589.0
13,Bitcoin,2017-02-03,1.0,103.0
14,Bitcoin,2017-02-05,1.0,110.0
15,Bitcoin,2017-02-09,1.0,52.0
16,Bitcoin,2017-02-10,1.0,89.0
17,Bitcoin,2017-02-12,2.0,288.0
18,Bitcoin,2017-02-15,3.0,386.0
19,Bitcoin,2017-02-16,1.0,160.0
20,Bitcoin,2017-02-20,2.0,506.0
21,Bitcoin,2017-02-27,2.0,113.0
22,Bitcoin,2017-02-28,2.0,278.0
23,Bitcoin,2017-03-01,2.0,120.0
24,Bitcoin,2017-03-03,1.0,85.0
25,Bitcoin,2017-03-05,2.0,44.0
26,Bitcoin,2017-03-06,1.0,448.0
27,Bitcoin,2017-03-07,1.0,100.0
28,Bitcoin,2017-03-13,1.0,55.0
29,Bitcoin,2017-03-14,2.0,1224.0
30,Bitcoin,2017-03-19,1.0,12.0
31,Bitcoin,2017-03-20,2.0,31.0
32,Bitcoin,2017-03-22,1.0,70.0
33,Bitcoin,2017-03-24,1.0,205.0
34,Bitcoin,2017-03-25,2.0,446.0
35,Bitcoin,2017-03-27,1.0,226.0
36,Bitcoin,2017-03-28,1.0,319.0
37,Bitcoin,2017-03-31,1.0,181.0
38,Bitcoin,2017-04-02,4.0,257.0
39,Bitcoin,2017-04-03,1.0,223.0
40,Bitcoin,2017-04-04,1.0,322.0
